event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Construction,237,Urban,286.9536,12.69,2.94,Free-flow
Construction,53,Highway,280.0071,8.56,2.0,Free-flow
Accident,522,Urban,163.4727,27.72,9.84,Moderate
Sporting Event,5863,Highway,287.9979,9.1,0.79,Free-flow
Construction,883,Highway,295.1798,9.41,2.46,Free-flow
Sporting Event,70570,Suburban,78.143,60.3,25.37,Heavy
Construction,715,Suburban,287.5627,15.03,0.72,Free-flow
Parade,30615,Suburban,75.2351,56.26,25.87,Heavy
Other,38,Rural,290.5945,10.75,3.43,Free-flow
Concert,74082,Suburban,292.2438,8.37,2.29,Free-flow
Concert,60045,Urban,23.1665,92.24,64.25,Gridlock
Construction,669,Urban,267.9558,11.5,1.79,Free-flow
Accident,706,Suburban,158.6566,31.3,12.26,Moderate
Accident,353,Urban,290.4337,9.67,1.0,Free-flow
Accident,484,Rural,175.1508,26.54,11.7,Moderate
Other,840,Highway,286.1145,8.71,0.19,Free-flow
Other,644,Highway,71.5276,61.79,25.66,Heavy
Construction,621,Suburban,86.3461,59.83,19.28,Heavy
Construction,400,Rural,143.4429,31.08,10.78,Moderate
Construction,283,Urban,67.866,57.91,23.18,Heavy
Accident,47,Highway,23.9408,89.03,60.34,Gridlock
Construction,615,Suburban,169.5746,33.86,9.36,Moderate
Parade,14868,Rural,22.9268,91.25,57.03,Gridlock
Construction,978,Suburban,246.7351,10.07,2.63,Free-flow
Concert,62087,Suburban,23.2593,91.19,52.81,Gridlock
Sporting Event,31576,Urban,179.2741,35.23,8.47,Moderate
Construction,677,Suburban,264.7781,12.14,1.27,Free-flow
Other,454,Urban,158.146,26.76,10.67,Moderate
Construction,592,Suburban,159.4229,31.61,11.32,Moderate
Other,368,Urban,76.7809,57.19,23.96,Heavy
Other,453,Suburban,24.812,89.91,56.0,Gridlock
Sporting Event,70021,Urban,274.4784,10.47,2.41,Free-flow
Accident,775,Urban,56.7402,61.13,20.78,Heavy
Accident,389,Urban,141.8798,28.64,9.03,Moderate
Accident,503,Highway,84.8688,58.6,27.09,Heavy
Accident,335,Highway,74.5634,62.91,23.53,Heavy
Concert,23340,Urban,108.0266,60.36,21.6,Heavy
Construction,481,Suburban,286.1994,14.87,1.62,Free-flow
Other,130,Urban,156.0638,33.37,9.53,Moderate
Accident,899,Suburban,74.1092,55.38,28.08,Heavy
Construction,715,Suburban,140.7262,31.91,12.26,Moderate
Accident,850,Rural,82.3701,61.22,24.85,Heavy
Construction,160,Urban,155.8925,29.52,10.7,Moderate
Accident,241,Suburban,284.8977,11.7,1.27,Free-flow
Accident,914,Suburban,19.9362,92.77,57.6,Gridlock
Accident,783,Suburban,280.4194,10.4,2.07,Free-flow
Construction,17,Urban,25.7238,89.39,62.39,Gridlock
Accident,414,Suburban,279.5506,8.72,2.22,Free-flow
Sporting Event,38690,Suburban,273.8061,6.64,1.62,Free-flow
Parade,62928,Highway,273.4276,10.26,2.03,Free-flow
Sporting Event,86994,Highway,82.477,60.05,22.9,Heavy
Other,442,Urban,277.7767,10.66,2.86,Free-flow
Parade,43873,Highway,151.2742,30.32,11.12,Moderate
Other,170,Suburban,73.0398,59.61,25.73,Heavy
Other,958,Urban,164.8394,31.05,12.51,Moderate
Accident,7,Rural,162.4943,27.19,12.46,Moderate
Sporting Event,2693,Urban,24.2814,92.3,56.04,Gridlock
Parade,79079,Urban,22.6197,93.16,65.16,Gridlock
Accident,931,Urban,79.1587,62.38,25.5,Heavy
Sporting Event,9837,Urban,197.7873,26.62,11.39,Moderate
Construction,670,Highway,150.9543,30.27,7.39,Heavy
Accident,563,Rural,289.2545,10.5,3.11,Free-flow
Construction,969,Urban,298.3016,8.23,2.34,Free-flow
Parade,32179,Highway,249.0038,9.36,1.53,Free-flow
Other,591,Urban,162.0344,29.35,8.42,Moderate
Parade,59801,Suburban,22.9283,88.73,56.05,Gridlock
Accident,507,Suburban,300.5348,11.8,2.64,Free-flow
Accident,698,Urban,149.0604,29.79,11.67,Moderate
Other,345,Urban,22.6438,88.82,57.98,Gridlock
Accident,34,Urban,88.1392,60.64,23.83,Heavy
Construction,755,Highway,155.8565,30.48,9.2,Moderate
Parade,17338,Urban,71.1045,60.21,23.38,Heavy
Construction,585,Rural,22.2151,89.9,63.77,Gridlock
Parade,58573,Suburban,56.9867,57.47,27.75,Heavy
Accident,782,Highway,166.2755,28.27,8.5,Moderate
Construction,450,Highway,64.9143,59.74,26.38,Heavy
Accident,934,Urban,29.2771,88.56,57.08,Gridlock
Accident,477,Rural,89.6642,53.85,23.4,Heavy
Construction,141,Suburban,64.2036,56.88,27.34,Heavy
Accident,576,Urban,162.7035,31.17,9.47,Moderate
Construction,476,Urban,69.6706,56.73,24.99,Heavy
Parade,29666,Suburban,22.6729,94.63,58.93,Gridlock
Construction,258,Urban,19.4112,92.77,54.02,Gridlock
Accident,375,Urban,24.3813,89.23,57.31,Gridlock
Accident,179,Highway,151.4769,27.89,12.15,Moderate
Construction,494,Highway,25.6797,90.62,58.61,Gridlock
Construction,362,Highway,287.4691,8.25,2.01,Free-flow
Parade,59584,Urban,94.432,63.26,25.44,Heavy
Sporting Event,65915,Urban,85.6794,60.3,24.23,Heavy
Concert,39797,Highway,60.2194,66.45,20.82,Heavy
Construction,38,Suburban,78.521,64.18,23.15,Heavy
Accident,320,Suburban,266.313,10.22,1.9,Free-flow
Accident,487,Suburban,23.8568,90.37,61.15,Gridlock
Accident,633,Urban,268.8675,9.92,1.84,Free-flow
Other,863,Urban,269.397,8.0,1.75,Free-flow
Other,393,Highway,20.835,86.06,59.04,Gridlock
Accident,945,Urban,150.3425,31.5,10.39,Moderate
Other,5,Suburban,169.8699,29.31,10.88,Moderate
Accident,392,Suburban,150.9521,32.42,10.64,Moderate
Construction,53,Urban,157.2043,28.04,10.62,Moderate
Parade,53683,Urban,154.756,32.57,11.71,Moderate
Construction,645,Urban,23.9488,90.5,64.18,Gridlock
Other,435,Highway,70.6444,54.82,21.21,Heavy
Sporting Event,55725,Urban,25.8931,84.03,58.1,Gridlock
Accident,49,Suburban,19.8079,89.39,60.3,Gridlock
Construction,521,Highway,144.0522,29.06,8.88,Moderate
Other,85,Urban,27.8546,92.27,67.04,Gridlock
Other,352,Suburban,23.1748,88.52,62.58,Gridlock
Construction,984,Suburban,286.6842,10.09,1.37,Free-flow
Parade,75904,Highway,287.5391,12.32,1.01,Free-flow
Sporting Event,39997,Urban,261.9837,9.69,2.49,Free-flow
Accident,42,Urban,161.1013,29.78,7.68,Moderate
Concert,81074,Suburban,85.61,60.24,24.55,Heavy
Sporting Event,66433,Urban,154.6807,31.0,7.52,Moderate
Other,23,Urban,22.7063,91.39,65.6,Gridlock
Accident,115,Suburban,297.9794,9.56,1.54,Free-flow
Accident,430,Urban,163.4327,24.36,8.61,Moderate
Concert,6865,Urban,278.4565,9.37,2.64,Free-flow
Sporting Event,17182,Suburban,20.3448,86.91,58.46,Gridlock
Other,221,Urban,21.9302,90.06,59.85,Gridlock
Construction,392,Highway,294.6355,11.64,2.13,Free-flow
Parade,95473,Suburban,68.3475,62.34,22.38,Heavy
Accident,926,Highway,81.1074,56.76,22.91,Heavy
Concert,3992,Urban,276.8292,9.59,0.58,Free-flow
Other,302,Suburban,289.9266,7.15,2.49,Free-flow
Other,991,Urban,28.7846,87.48,60.13,Gridlock
Construction,391,Suburban,168.9017,34.29,11.71,Moderate
Parade,31869,Urban,93.1014,59.58,26.05,Heavy
Other,927,Suburban,20.9616,89.86,62.64,Gridlock
Parade,57165,Highway,146.609,37.18,11.35,Moderate
Construction,613,Urban,71.0861,63.13,24.27,Heavy
Construction,404,Urban,262.7488,9.42,2.34,Free-flow
Construction,463,Suburban,21.7222,89.48,62.2,Gridlock
Accident,800,Suburban,83.092,62.01,25.71,Heavy
Construction,203,Highway,26.6533,93.44,52.3,Gridlock
Sporting Event,65290,Urban,158.693,33.55,10.7,Moderate
Construction,961,Suburban,80.6632,62.54,27.72,Heavy
Other,998,Urban,86.0197,57.87,27.68,Heavy
Accident,607,Urban,23.8747,86.85,55.1,Gridlock
Accident,603,Suburban,31.7425,96.23,61.45,Gridlock
Accident,998,Urban,27.4476,95.02,58.85,Gridlock
Accident,835,Urban,81.5806,58.21,26.53,Heavy
Construction,171,Urban,85.1855,57.36,25.43,Heavy
Accident,756,Highway,80.1615,54.26,22.92,Heavy
Parade,54417,Urban,19.3857,93.94,59.89,Gridlock
Construction,849,Suburban,27.1513,89.82,56.3,Gridlock
Accident,163,Suburban,27.5201,92.38,58.0,Gridlock
Concert,84869,Suburban,299.8771,7.56,1.1,Free-flow
Other,352,Urban,87.9108,62.59,25.45,Heavy
Sporting Event,90682,Suburban,293.5295,8.09,0.42,Free-flow
Parade,56247,Urban,64.9957,59.02,25.87,Heavy
Other,723,Highway,23.4934,90.31,60.22,Gridlock
Parade,61793,Urban,285.3253,9.05,0.87,Free-flow
Concert,2867,Rural,25.5514,91.75,59.1,Gridlock
Construction,38,Urban,94.7508,65.55,23.43,Heavy
Concert,19834,Suburban,70.1807,60.13,23.61,Heavy
Other,249,Highway,72.493,60.7,25.95,Heavy
Accident,130,Highway,27.7289,90.44,56.84,Gridlock
Accident,618,Suburban,265.3122,12.66,1.05,Free-flow
Accident,846,Suburban,26.0454,87.13,58.0,Gridlock
Other,296,Suburban,150.7035,29.93,11.65,Moderate
Construction,798,Highway,67.1944,63.45,25.06,Heavy
Construction,83,Urban,72.6854,54.61,24.09,Heavy
Concert,30297,Highway,171.6016,35.74,8.02,Moderate
Construction,364,Highway,268.2974,6.39,2.24,Free-flow
Accident,549,Urban,286.2494,11.53,1.7,Free-flow
Accident,226,Highway,286.2858,6.95,1.23,Free-flow
Other,882,Urban,255.4158,11.16,1.39,Free-flow
Concert,98521,Urban,62.866,54.33,27.31,Heavy
Accident,808,Urban,138.8194,29.31,8.33,Moderate
Parade,66498,Suburban,76.2721,56.27,25.34,Heavy
Accident,21,Urban,87.6331,60.67,23.71,Heavy
Construction,586,Urban,70.2577,61.39,30.78,Heavy
Other,599,Suburban,24.3219,93.08,57.46,Gridlock
Accident,300,Urban,280.8832,13.91,1.84,Free-flow
Accident,578,Highway,28.969,90.36,63.16,Gridlock
Accident,56,Urban,161.6624,30.51,9.57,Moderate
Concert,4599,Highway,147.9959,30.91,10.97,Moderate
Construction,548,Suburban,274.9091,11.13,1.55,Free-flow
Sporting Event,9097,Highway,74.4509,58.44,23.41,Heavy
Accident,371,Urban,20.3495,95.45,60.26,Gridlock
Accident,589,Suburban,65.1016,61.69,24.36,Heavy
Other,404,Suburban,287.8098,10.27,0.8,Free-flow
Accident,766,Urban,170.5886,30.99,11.11,Moderate
Construction,691,Urban,145.0352,27.08,11.64,Moderate
Accident,880,Rural,61.7671,61.44,22.9,Heavy
Accident,445,Suburban,67.2775,65.74,22.52,Heavy
Concert,12998,Suburban,295.1538,11.09,1.94,Free-flow
Sporting Event,41307,Highway,65.9282,60.82,24.17,Heavy
Other,197,Urban,26.8414,89.07,55.92,Gridlock
Sporting Event,6327,Urban,145.5881,27.57,9.51,Moderate
Sporting Event,64939,Suburban,91.3623,61.82,26.42,Heavy
Accident,719,Urban,105.7286,57.81,25.94,Heavy
Other,959,Urban,284.3908,10.44,2.35,Free-flow
Concert,9483,Suburban,21.2075,84.33,64.68,Gridlock
Accident,918,Urban,155.6708,24.58,10.02,Moderate
Accident,782,Suburban,285.3001,10.98,2.35,Free-flow
Accident,734,Urban,79.3961,60.76,26.69,Heavy
Construction,174,Rural,24.5549,91.8,63.88,Gridlock
Accident,355,Suburban,82.5992,58.26,29.32,Heavy
Accident,384,Urban,79.0014,55.6,25.62,Heavy
Concert,93212,Rural,21.571,93.63,59.49,Gridlock
Parade,62078,Suburban,79.0465,62.74,26.63,Heavy
Accident,960,Highway,252.0608,11.84,2.01,Free-flow
Parade,54113,Urban,277.9005,10.2,2.18,Free-flow
Construction,816,Suburban,150.7412,35.5,9.52,Moderate
Construction,208,Highway,25.18,86.87,60.14,Gridlock
Accident,240,Urban,177.4397,31.41,11.37,Moderate
Concert,98289,Urban,287.4252,11.22,2.72,Free-flow
Sporting Event,72153,Urban,169.5861,38.47,8.43,Moderate
Construction,793,Urban,274.7275,5.93,3.42,Free-flow
Accident,380,Urban,23.5889,90.16,58.84,Gridlock
Accident,620,Urban,21.3202,90.65,62.13,Gridlock
Construction,563,Urban,285.1162,10.76,1.55,Free-flow
Accident,658,Suburban,64.196,60.17,25.98,Heavy
Accident,543,Urban,152.9442,29.42,11.72,Moderate
Construction,920,Suburban,23.2627,93.99,61.1,Gridlock
Accident,350,Urban,277.9324,9.15,1.52,Free-flow
Concert,89833,Highway,159.8057,27.37,8.12,Moderate
Concert,17623,Urban,169.7932,30.72,10.89,Moderate
Construction,805,Suburban,86.3918,61.39,25.23,Heavy
Accident,428,Highway,269.527,11.39,2.69,Free-flow
Concert,11526,Highway,64.9655,53.77,24.46,Heavy
Accident,823,Suburban,259.2768,7.22,2.03,Free-flow
Other,855,Suburban,259.681,8.9,2.56,Free-flow
Sporting Event,38945,Suburban,83.0771,62.33,26.34,Heavy
Sporting Event,32514,Suburban,167.3403,30.12,9.62,Moderate
Construction,841,Suburban,159.2273,33.89,9.93,Moderate
Accident,816,Urban,25.2314,90.74,56.44,Gridlock
Other,257,Urban,279.271,9.56,2.39,Free-flow
Construction,137,Urban,177.0785,32.49,10.8,Moderate
Sporting Event,91062,Urban,25.1136,88.59,65.22,Gridlock
Other,321,Suburban,85.5679,57.77,25.28,Heavy
Accident,547,Rural,91.3019,60.52,27.08,Heavy
Accident,997,Highway,57.9819,60.55,19.61,Heavy
Accident,394,Highway,277.1886,8.82,1.48,Free-flow
Other,710,Urban,280.377,8.22,3.52,Free-flow
Construction,21,Urban,166.175,28.79,10.09,Moderate
Construction,4,Urban,69.6851,61.38,29.33,Heavy
Construction,531,Suburban,71.8306,62.06,27.9,Heavy
Accident,690,Suburban,151.7615,29.76,12.44,Moderate
Construction,527,Suburban,278.0049,7.87,2.0,Free-flow
Accident,697,Suburban,71.3685,60.8,25.16,Heavy
Other,551,Suburban,263.037,9.16,0.92,Free-flow
Accident,184,Highway,24.2797,92.36,60.68,Gridlock
Accident,639,Suburban,22.9185,86.95,59.69,Gridlock
Concert,78849,Suburban,69.6727,63.77,26.4,Heavy
Construction,3,Urban,172.9587,35.2,10.43,Moderate
Construction,524,Urban,163.992,25.82,12.67,Moderate
Accident,131,Urban,62.7274,57.72,27.26,Heavy
Accident,496,Rural,23.4193,83.78,64.64,Gridlock
Accident,365,Urban,289.0245,9.79,1.78,Free-flow
Construction,952,Rural,58.8387,64.26,27.05,Heavy
Accident,163,Suburban,175.2429,31.68,11.02,Heavy
Sporting Event,58581,Highway,25.5572,87.89,63.29,Gridlock
Sporting Event,4646,Highway,22.5708,86.87,63.22,Gridlock
Sporting Event,22367,Suburban,159.9054,30.22,11.67,Moderate
Other,148,Urban,175.4208,32.43,13.82,Moderate
Other,315,Urban,67.1136,60.0,24.79,Heavy
Accident,686,Urban,87.6555,62.46,29.77,Heavy
Concert,90021,Urban,112.8638,61.48,25.99,Heavy
Sporting Event,80639,Suburban,71.7357,53.31,26.77,Heavy
Accident,253,Highway,170.0824,26.0,12.16,Moderate
Accident,423,Urban,170.2986,31.57,10.86,Moderate
Accident,217,Suburban,106.1907,58.57,28.56,Heavy
Sporting Event,47002,Urban,71.0024,64.49,26.86,Heavy
Sporting Event,28895,Suburban,82.0065,60.31,25.92,Heavy
Accident,683,Suburban,286.0954,11.29,1.37,Free-flow
Accident,408,Highway,23.8586,95.08,60.31,Gridlock
Sporting Event,75511,Urban,299.5731,9.27,1.51,Free-flow
Accident,630,Highway,25.5417,88.63,58.46,Gridlock
Construction,487,Urban,69.616,62.39,23.73,Heavy
Other,587,Suburban,168.2819,29.73,6.46,Moderate
Accident,634,Urban,169.5532,28.87,11.7,Moderate
Concert,53910,Highway,164.6611,32.85,9.7,Moderate
Accident,901,Rural,87.1691,58.72,22.11,Heavy
Sporting Event,52424,Highway,156.7642,36.17,10.68,Moderate
Concert,65016,Suburban,24.0245,88.55,65.85,Gridlock
Other,28,Suburban,74.7923,62.1,25.53,Heavy
Sporting Event,91438,Suburban,169.911,34.12,8.57,Moderate
Accident,150,Suburban,75.9946,59.18,28.24,Heavy
Sporting Event,59266,Urban,151.0481,28.6,10.55,Moderate
Other,805,Rural,81.9714,59.09,27.32,Heavy
Other,38,Urban,82.0541,58.52,22.81,Heavy
Sporting Event,90703,Urban,27.1992,96.19,59.29,Gridlock
Accident,793,Rural,75.2471,59.32,24.04,Heavy
Accident,609,Highway,87.7684,55.38,24.93,Heavy
Accident,515,Highway,24.6848,87.69,58.67,Gridlock
Accident,213,Urban,279.4405,12.18,2.17,Free-flow
Concert,22511,Rural,267.0029,8.26,1.7,Free-flow
Construction,149,Suburban,162.7483,30.33,11.23,Moderate
Other,620,Rural,155.131,33.3,9.55,Moderate
Accident,901,Rural,155.1878,37.81,8.05,Moderate
Accident,179,Urban,29.2564,93.03,59.62,Gridlock
Sporting Event,56174,Suburban,148.9299,34.64,10.27,Moderate
Accident,744,Highway,23.9308,93.95,57.4,Gridlock
Concert,26316,Suburban,148.7071,25.62,12.89,Moderate
Construction,429,Urban,26.2557,89.17,61.05,Gridlock
Other,330,Rural,149.5758,31.86,9.77,Moderate
Sporting Event,42934,Suburban,94.6733,58.52,20.85,Heavy
Parade,94116,Rural,75.6157,60.91,27.49,Heavy
Accident,81,Urban,174.3423,26.71,8.55,Moderate
Accident,859,Rural,282.9729,12.21,1.4,Free-flow
Accident,729,Urban,89.3866,61.01,25.42,Heavy
Accident,116,Suburban,25.9855,91.01,60.96,Gridlock
Accident,401,Suburban,144.6048,27.67,9.2,Moderate
Sporting Event,15670,Rural,165.2075,29.3,9.16,Moderate
Other,253,Highway,286.7645,10.06,2.08,Free-flow
Construction,515,Urban,262.706,9.28,1.59,Free-flow
Construction,273,Urban,287.3632,10.5,2.49,Free-flow
Accident,75,Suburban,94.2925,54.1,22.52,Heavy
Other,36,Urban,270.7725,11.03,2.17,Free-flow
Accident,457,Urban,26.1357,89.57,59.88,Gridlock
Parade,47766,Rural,162.6114,29.88,12.39,Moderate
Concert,21715,Suburban,156.51,27.12,10.33,Moderate
Accident,666,Suburban,163.1711,28.22,11.14,Moderate
Construction,597,Suburban,24.0882,86.03,63.71,Gridlock
Accident,931,Suburban,176.0942,34.52,9.31,Moderate
Parade,49765,Urban,80.4299,55.11,23.84,Heavy
Construction,255,Suburban,19.4612,92.4,56.0,Gridlock
Parade,25158,Suburban,293.9867,10.13,1.77,Free-flow
Parade,63642,Suburban,156.1945,33.32,7.71,Moderate
Accident,627,Urban,79.9469,65.67,26.38,Heavy
Accident,715,Suburban,158.1293,33.27,9.04,Moderate
Accident,878,Urban,70.4759,57.43,22.8,Heavy
Parade,76770,Suburban,276.3812,8.64,2.33,Free-flow
Concert,6347,Rural,86.5032,59.34,23.86,Heavy
Other,928,Urban,20.4432,88.92,58.56,Gridlock
Parade,48934,Rural,272.3671,8.83,0.69,Free-flow
Accident,343,Urban,64.4747,59.75,22.92,Heavy
Accident,795,Urban,295.7609,5.66,1.03,Free-flow
Sporting Event,16183,Highway,277.9197,7.72,1.3,Free-flow
Concert,8833,Urban,168.1808,30.51,8.69,Moderate
Parade,11336,Urban,290.9737,8.55,1.5,Free-flow
Parade,76288,Urban,249.9596,9.58,1.61,Free-flow
Accident,527,Highway,159.7305,30.31,9.76,Moderate
Accident,458,Urban,76.9684,58.33,23.33,Gridlock
Construction,517,Rural,75.7456,58.29,27.2,Heavy
Concert,67476,Urban,147.8975,29.7,8.97,Moderate
Accident,128,Highway,66.4826,67.48,27.61,Heavy
Construction,117,Highway,267.7022,10.29,2.14,Free-flow
Accident,954,Urban,66.1443,62.87,26.6,Heavy
Accident,296,Highway,159.8045,29.45,7.81,Moderate
Construction,130,Urban,171.7965,29.33,6.66,Moderate
Other,473,Highway,316.619,12.88,1.43,Free-flow
Parade,78937,Rural,294.845,7.55,1.51,Free-flow
Accident,364,Suburban,89.5445,56.05,25.19,Heavy
Sporting Event,6869,Highway,182.9495,35.58,12.37,Moderate
Accident,277,Urban,300.3602,8.11,1.07,Free-flow
Sporting Event,13995,Highway,100.0907,63.16,28.2,Heavy
Accident,920,Highway,21.2763,95.21,59.52,Gridlock
Concert,97044,Suburban,255.0448,11.1,1.95,Free-flow
Construction,428,Urban,286.2154,10.66,2.63,Free-flow
Accident,174,Highway,86.1409,59.22,23.45,Heavy
Accident,888,Urban,75.9065,60.05,26.22,Heavy
Accident,194,Highway,89.1103,62.57,26.63,Heavy
Accident,653,Rural,89.5107,63.22,25.68,Heavy
Construction,631,Highway,299.8879,9.92,1.91,Free-flow
Parade,89606,Urban,71.0664,59.88,24.29,Heavy
Concert,95164,Rural,30.4827,84.79,63.42,Gridlock
Sporting Event,34328,Suburban,26.8864,86.7,54.71,Gridlock
Construction,923,Urban,65.9285,62.68,22.19,Heavy
Concert,81084,Urban,285.9028,11.32,3.19,Free-flow
Other,428,Suburban,264.8508,8.93,0.62,Free-flow
Sporting Event,80116,Highway,68.4789,55.44,26.53,Heavy
Parade,2627,Urban,164.9285,27.47,9.35,Moderate
Accident,151,Suburban,271.0567,9.48,2.51,Free-flow
Construction,522,Urban,163.1929,28.55,9.5,Moderate
Concert,37148,Highway,292.7863,8.41,2.46,Free-flow
Parade,37580,Highway,285.6815,8.41,2.47,Free-flow
Parade,94497,Urban,156.8031,33.02,12.82,Moderate
Concert,56743,Suburban,64.6079,59.54,25.02,Heavy
Concert,61025,Highway,261.4507,10.96,3.0,Free-flow
Sporting Event,86965,Urban,75.5692,58.53,24.13,Heavy
Other,769,Urban,55.9177,57.4,29.22,Heavy
Concert,39108,Rural,299.7598,12.11,2.17,Free-flow
Other,824,Urban,74.6751,65.36,30.09,Heavy
Construction,271,Urban,20.9323,97.41,59.32,Gridlock
Parade,47476,Suburban,163.1455,27.91,11.1,Moderate
Accident,156,Urban,274.5326,7.67,2.53,Free-flow
Concert,20039,Suburban,25.153,87.81,56.34,Gridlock
Construction,667,Urban,22.9795,97.36,59.01,Gridlock
Concert,96858,Rural,174.369,25.47,9.77,Moderate
Accident,488,Rural,72.3147,62.67,27.84,Heavy
Construction,709,Rural,26.9587,89.85,59.86,Gridlock
Parade,91878,Urban,305.4503,14.31,3.88,Free-flow
Other,546,Urban,156.5041,26.49,11.16,Moderate
Accident,416,Urban,279.3717,7.5,2.8,Free-flow
Accident,857,Urban,65.7936,62.44,23.89,Heavy
Concert,12887,Urban,72.0962,63.91,26.61,Heavy
Accident,42,Suburban,27.0001,91.6,57.93,Gridlock
Construction,74,Urban,62.9907,59.01,24.4,Heavy
Accident,207,Urban,282.3783,9.52,3.94,Free-flow
Construction,155,Suburban,23.7414,87.77,64.9,Gridlock
Accident,722,Highway,163.5576,26.99,8.8,Moderate
Accident,932,Highway,278.0614,9.75,4.03,Free-flow
Accident,504,Suburban,164.8907,22.41,9.71,Moderate
Concert,87709,Urban,173.9026,33.62,9.13,Moderate
Accident,888,Rural,83.4185,62.71,23.21,Gridlock
Accident,428,Suburban,288.1653,9.46,1.47,Free-flow
Accident,791,Urban,286.281,10.54,0.19,Free-flow
Concert,45453,Highway,261.04,14.03,2.65,Free-flow
Other,923,Urban,293.9976,10.45,1.87,Free-flow
Construction,735,Suburban,57.6203,60.84,22.72,Heavy
Parade,60080,Urban,164.4861,29.68,7.82,Moderate
Concert,54704,Suburban,167.2189,31.53,10.48,Moderate
Parade,65756,Highway,26.7227,92.5,54.7,Gridlock
Sporting Event,58981,Highway,260.9073,8.69,1.49,Free-flow
Sporting Event,51774,Suburban,285.8017,8.43,2.87,Free-flow
Other,49,Suburban,280.9377,10.11,2.72,Free-flow
Sporting Event,28870,Urban,260.3406,12.91,2.5,Free-flow
Construction,275,Urban,68.4961,63.53,29.28,Heavy
Accident,249,Urban,253.6134,9.47,2.22,Free-flow
Accident,296,Urban,259.7199,8.46,-0.54,Free-flow
Construction,132,Suburban,69.3458,61.25,21.96,Heavy
Sporting Event,12966,Urban,266.6527,7.72,2.91,Free-flow
Construction,370,Suburban,284.1862,10.07,2.83,Free-flow
Parade,87823,Rural,74.2917,65.39,24.66,Heavy
Sporting Event,61421,Rural,33.5492,88.76,60.98,Gridlock
Accident,631,Rural,172.7705,30.73,8.99,Moderate
Construction,138,Suburban,24.275,89.33,56.9,Gridlock
Other,543,Highway,24.8612,89.17,61.36,Gridlock
Other,87,Suburban,56.4526,63.47,22.28,Heavy
Sporting Event,34511,Urban,24.1978,90.35,57.78,Gridlock
Sporting Event,73747,Urban,23.3161,91.01,61.12,Gridlock
Accident,826,Suburban,25.5967,83.53,57.63,Gridlock
Other,826,Suburban,70.2314,60.24,19.6,Heavy
Accident,464,Urban,254.6111,14.77,2.04,Free-flow
Accident,456,Urban,247.6509,9.53,3.32,Free-flow
Accident,626,Urban,26.4138,88.22,55.91,Gridlock
Sporting Event,52383,Suburban,259.7184,11.17,0.56,Free-flow
Construction,169,Urban,27.9133,91.06,60.37,Gridlock
Construction,1,Suburban,85.937,60.38,30.6,Heavy
Construction,119,Rural,241.9465,11.75,0.21,Free-flow
Accident,469,Suburban,279.5386,9.32,2.45,Free-flow
Concert,83563,Suburban,25.9413,95.79,61.78,Gridlock
Other,552,Urban,20.7558,87.92,57.93,Gridlock
Parade,9771,Urban,248.5066,12.79,1.82,Free-flow
Accident,534,Urban,292.3832,10.98,2.18,Free-flow
Construction,207,Urban,95.6974,57.72,26.6,Heavy
Accident,471,Suburban,22.7219,90.59,59.53,Gridlock
Accident,418,Suburban,159.2787,31.05,9.06,Moderate
Other,349,Highway,28.5384,86.44,60.31,Gridlock
Construction,571,Urban,260.2951,10.03,1.65,Free-flow
Accident,764,Rural,262.4812,10.38,0.75,Free-flow
Accident,553,Highway,165.3498,24.13,10.14,Moderate
Construction,888,Urban,276.781,8.34,-0.07,Moderate
Sporting Event,56669,Suburban,87.1064,61.24,27.04,Heavy
Accident,807,Suburban,294.2573,13.53,2.18,Free-flow
Accident,690,Highway,71.0464,57.37,23.8,Heavy
Sporting Event,63842,Urban,264.1706,9.36,2.05,Free-flow
Sporting Event,28109,Highway,76.4419,65.86,21.77,Heavy
Sporting Event,37901,Suburban,177.2008,29.14,7.82,Moderate
Concert,68215,Suburban,66.1258,61.64,28.68,Heavy
Construction,18,Rural,92.2035,60.58,24.89,Heavy
Accident,917,Highway,164.0903,29.1,11.52,Moderate
Other,820,Suburban,273.7971,6.07,1.52,Free-flow
Concert,60002,Suburban,299.2082,6.64,2.35,Free-flow
Accident,107,Highway,140.2288,30.8,8.61,Moderate
Accident,828,Highway,22.8283,89.91,57.28,Gridlock
Sporting Event,12868,Rural,88.6562,62.32,24.23,Heavy
Accident,159,Rural,179.9562,34.88,10.71,Moderate
Sporting Event,92122,Suburban,161.0454,28.01,11.94,Moderate
Accident,216,Highway,28.8382,87.07,55.83,Gridlock
Concert,83080,Suburban,82.0005,56.73,23.62,Heavy
Accident,745,Highway,253.6123,9.94,1.86,Free-flow
Accident,595,Highway,149.3916,24.03,10.81,Moderate
Sporting Event,13991,Suburban,156.3059,27.79,11.84,Moderate
Construction,701,Rural,286.4516,10.36,2.31,Free-flow
Accident,190,Suburban,91.7985,66.35,23.58,Heavy
Accident,443,Rural,30.5926,94.53,61.11,Gridlock
Accident,165,Suburban,297.8622,12.92,2.11,Free-flow
Accident,842,Highway,27.8674,90.52,55.07,Gridlock
Accident,994,Urban,83.735,58.25,21.12,Heavy
Accident,958,Urban,88.1629,61.75,23.3,Heavy
Accident,159,Urban,286.5875,13.09,0.99,Free-flow
Concert,81958,Suburban,330.3569,9.91,1.74,Free-flow
